ID,componentindex,CF_kingdom,CF_MFramework,CF_superclass,CF_class,CF_subclass,CF_Dparent,Compound_Name,feature
52333,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,52333
52336,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52336
52346,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52346
52347,1764,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Hydroxy acids and derivatives,Imidazoles,Phenylimidazoles,,52347
52352,1764,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Hydroxy acids and derivatives,Imidazoles,Phenylimidazoles,,52352
52355,1764,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Hydroxy acids and derivatives,Imidazoles,Phenylimidazoles,,52355
52358,1764,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Hydroxy acids and derivatives,Imidazoles,Phenylimidazoles,,52358
52372,1588,no matches,no matches,no matches,no matches,no matches,no matches,,52372
52377,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52377
52382,64,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Tetralins,,52382
